Quality rule id;Quality rule name;Remediation effort (in minutes);Critical;Technologies
6144;Avoid Userobject with too many Methods;;FALSE;PowerBuilder
6150;Avoid Menus, UserObjects and Windows that have no inheritance relations with other objects;;FALSE;PowerBuilder
6162;Avoid Artifacts with High integration complexity;;FALSE;PowerBuilder
6184;Avoid Artifacts with Subqueries (Power Builder);;TRUE;PowerBuilder
6194;Avoid Artifacts with lines of more than 80 characters;;FALSE;PowerBuilder
7050;Function naming convention;;FALSE;ABAP
7054;Avoid large Programs - too many Lines of Code (ABAP);;FALSE;ABAP
7056;Avoid Programs/Includes including large Includes;;FALSE;ABAP
7058;Avoid Programs with too many includes;;FALSE;ABAP
7060;Avoid undocumented Programs (ABAP);;FALSE;ABAP
7062;Avoid undocumented Includes;;FALSE;ABAP
7066;Avoid Programs with low comment/code ratio;;FALSE;ABAP
7068;Avoid Includes with low comment/code ratio;;FALSE;ABAP
7072;Program naming convention;;FALSE;ABAP
7074;Include naming convention;;FALSE;ABAP
7076;Avoid Programs/Includes with too many Forms;;FALSE;ABAP
7082;Avoid Function pools with more than 20 functions;;FALSE;ABAP
7088;Processing Screen Naming Convention;;FALSE;ABAP
7092;Avoid Include Circular references;;FALSE;ABAP
7094;Avoid Programs with more than 3 levels of inclusion;;FALSE;ABAP
7126;Avoid Artifacts with high Commented-out Code Lines/Code Lines ratio;;FALSE;ALL TECHNOLOGIES
7130;Avoid Artifacts with High Depth of Nested Subqueries;;FALSE;ALL TECHNOLOGIES
7132;Action Mappings should have few forwards;;FALSE;JEE
7134;Avoid having local forward with same name as global forward;;FALSE;JEE
7136;Each method in an Action Class should have a small complexity;;FALSE;JEE
7138;Action Classes should only be called by Action Mappings tag (for Struts 1.x) or Action tag (for Struts 2.x);;FALSE;JEE
7140;Action Artifacts should not directly call a JSP page;;TRUE;JEE
7142;Action Classes should have only one public method;;FALSE;JEE
7144;Action Artifacts should not directly use database objects;;TRUE;JEE
7146;JSP pages should only reference Java Objects associated to J2EE Scoped Bean;;FALSE;JEE
7148;JSP pages should always be accessed through their tiles definition;;FALSE;JEE
7150;Favor PreparedStatement or CallableStatement over Statement;;FALSE;JEE
7152;Avoid Fields in Servlet Classes that are not final static;;TRUE;JEE
7154;Avoid Fields in Action Classes that are not final static;;TRUE;JEE
7156;Avoid Too Many Copy Pasted Artifacts;;FALSE;ALL TECHNOLOGIES
7188;Private fields must have JavaDoc Comments;;FALSE;JEE
7190;Validator form validate() Method must call super.validate();;FALSE;JEE
7192;Form Bean must extend Validator Class;;FALSE;JEE
7194;Avoid large number of String concatenation (.NET);;FALSE;.NET (Legacy Analyzer)/C#/VB.NET
7196;Avoid large number of String concatenation (JEE);;FALSE;JEE
7198;Avoid String concatenation in loops (.NET);;FALSE;.NET (Legacy Analyzer)/C#/VB.NET
7200;Avoid String concatenation in loops (JEE);;FALSE;JEE
7202;Check usage of '==' and '!=' on objects;;TRUE;JEE
7204;Avoid method invocation in a loop termination expression;;FALSE;ALL TECHNOLOGIES
7206;Avoid the use of InstanceOf inside loops;;FALSE;JEE
7208;Avoid the use of is inside loops;;FALSE;.NET (Legacy Analyzer)/C#/VB.NET
7210;Avoid instantiations inside loops;;TRUE;JEE
7212;Avoid instantiations inside loops (.NET);;TRUE;.NET (Legacy Analyzer)/C#/VB.NET
7218;Avoid OPEN/CLOSE inside loops;;TRUE;Cobol
7220;Avoid Unused Imports;;FALSE;JEE
7234;EVALUATE statements must be closed by END-EVALUATE;;FALSE;Cobol
7236;Avoid recursive calls with PERFORM statements;;TRUE;Cobol
7238;Avoid calls between JSP Pages;;FALSE;JEE
7240;Action Classes should only call Business Classes;;FALSE;JEE
7242;Avoid implementing Action Classes inheriting directly from Struts Action;;FALSE;JEE
7246;Avoid Packages with High Efferent Coupling (CE);;FALSE;JEE
7248;Avoid Packages with High Afferent Coupling (CA);;FALSE;JEE
7250;Avoid String initialization with String object (created using the 'new' keyword);;FALSE;JEE
7252;"Call 'super.finalize ()' in the ""finally"" block of 'finalize ()' methods";;FALSE;JEE
7254;Declare as Static all methods not using instance members (JEE);;FALSE;JEE
7256;Provide a private default Constructor for utility Classes (JEE);;FALSE;JEE
